,meeting_key,session_key,driver_number,lap_number,race_date,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,position,final_position,total_laps,lap_remaining,positions_to_gain,gain_per_lap
550,1141,7953,44,29,2023-03-05 00:00:00+00:00,31.319,42.914,24.147,232.0,252.0,False,98.38,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",309.0,5,5,57,29,4,0.13793103448275862
551,1141,7953,14,29,2023-03-05 00:00:00+00:00,31.49,42.916,24.179,228.0,245.0,False,98.585,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",307.0,6,3,57,29,5,0.1724137931034483
552,1141,7953,63,29,2023-03-05 00:00:00+00:00,31.476,43.264,24.052,230.0,244.0,False,98.792,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",,7,7,57,29,6,0.20689655172413793
553,1141,7953,18,29,2023-03-05 00:00:00+00:00,31.461,42.966,24.283,232.0,255.0,False,98.71,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0,8,6,57,29,7,0.2413793103448276
554,1141,7953,77,29,2023-03-05 00:00:00+00:00,32.154,43.012,27.054,227.0,250.0,False,102.22,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",284.0,9,8,57,29,8,0.27586206896551724
555,1141,7953,2,29,2023-03-05 00:00:00+00:00,31.672,43.498,24.503,234.0,252.0,False,99.673,"[None, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0,10,12,57,29,9,0.3103448275862069
556,1141,7953,24,29,2023-03-05 00:00:00+00:00,31.669,43.346,24.346,232.0,250.0,False,99.361,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",295.0,11,16,57,29,10,0.3448275862068966
557,1141,7953,20,29,2023-03-05 00:00:00+00:00,31.697,43.421,26.861,232.0,256.0,False,101.979,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2064]",300.0,12,13,57,29,11,0.3793103448275862
558,1141,7953,23,29,2023-03-05 00:00:00+00:00,31.1,43.034,23.993,230.0,243.0,False,98.127,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",,13,10,57,29,12,0.41379310344827586
559,1141,7953,10,29,2023-03-05 00:00:00+00:00,31.178,42.696,24.138,227.0,253.0,False,98.012,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2048, 2048, 2049]",302.0,14,9,57,29,13,0.4482758620689655
560,1141,7953,22,29,2023-03-05 00:00:00+00:00,31.071,42.582,24.126,230.0,256.0,False,97.779,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048]",311.0,15,11,57,29,14,0.4827586206896552
561,1141,7953,21,29,2023-03-05 00:00:00+00:00,31.275,42.759,24.087,,245.0,False,98.121,"[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0,16,14,57,29,15,0.5172413793103449
562,1141,7953,31,29,2023-03-05 00:00:00+00:00,31.685,44.908,24.588,,252.0,False,101.181,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",293.0,17,17,57,29,16,0.5517241379310345
563,1141,7953,1,30,2023-03-05 00:00:00+00:00,31.185,42.443,23.921,,249.0,False,97.549,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",299.0,1,1,57,28,0,0.0
564,1141,7953,27,29,2023-03-05 00:00:00+00:00,30.954,42.329,24.115,,245.0,False,97.398,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",298.0,18,15,57,29,17,0.5862068965517241
565,1141,7953,11,30,2023-03-05 00:00:00+00:00,31.031,42.483,23.886,,243.0,False,97.4,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",298.0,2,2,57,28,1,0.03571428571428571
566,1141,7953,16,30,2023-03-05 00:00:00+00:00,31.339,42.887,24.164,228.0,244.0,False,98.39,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048]",305.0,3,3,57,28,2,0.07142857142857142
567,1141,7953,4,29,2023-03-05 00:00:00+00:00,31.144,42.226,23.89,232.0,243.0,False,97.26,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2049]",300.0,19,17,57,29,18,0.6206896551724138
568,1141,7953,55,30,2023-03-05 00:00:00+00:00,31.445,43.033,24.123,228.0,243.0,False,98.601,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,4,4,57,28,3,0.10714285714285714
569,1141,7953,44,30,2023-03-05 00:00:00+00:00,31.375,42.964,26.836,233.0,251.0,False,101.175,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2064]",,5,5,57,28,4,0.14285714285714285
570,1141,7953,14,30,2023-03-05 00:00:00+00:00,31.37,42.711,24.201,,250.0,False,98.282,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",306.0,6,3,57,28,5,0.17857142857142858
